"Nº","NOMBRE","PRESENTACIÓN DE ESCRITURA (Art.5°)","REPAROS
A ESCRITURA DE
CONSTITUCIÓN
(Art.5º, inc.3°)","","PARTIDO EN
FORMACIÓN
(Art.5º, inc.4º)","","CADUCIDAD POR NO PRESENTAR AFILIADOS
EN PLAZO LEGAL
(Art.7°)","","INSCRIPCIÓN EN REGISTRO DE PARTIDOS POLÍTICOS
(Art.14º, inc.1º)","","","DISOLUCIÓN
(Art.42º)","PARTIDOS ACTIVOS Y TIEMPO DE VIGENCIA (Hasta 6 de junio de 2024)","TIEMPO DE EXISTENCIA DEL PARTIDO","years","months","days","Meses de vida","Idia","Imes","Iaño","Ddia","Dmes","Dyear","Fecha Inicio","Fecha Disolución"
"37"," PARTIDO DEMOCRACIA NACIONAL DE CENTRO Fusión de Partidos Nacional, Avanzada Nacional y Democracia Radical","29.05.90","14.05.90","","04.06.90","","","","17.07.90","","","18.08.94","","4 AÑOS, 2 MESES Y 17 DÍAS","4","2","17","50","29","5","1990","18","8","1994","1990/05/29","1994/08/18"
"38"," PARTIDO UNIÓN DE CENTRO-CENTRO","12.07.90","10.04.90","","21.07.90","","","","26.02.91","","","18.08.94
","","4 AÑOS, 1 MES Y 6 DÍAS","4","1","6","49","12","7","1990","18","8","1994","1990/07/12","1994/08/18"
"39"," PARTIDO SOCIALDEMOCRACIA CHILENA","29.10.90","25.10.90","","03.11.90","","","","01.04.91","","","18.08.94
","","3 AÑOS, 9 MESES Y 17 DÍAS","3","9","17","45","29","10","1990","18","8","1994","1990/10/29","1994/08/18"
"40"," PARTIDO MOVIMIENTO DE ACCIÓN POPULAR UNITARIA <<MAPU>>","31.05.91","27.05.91","","06.06.91","","","","15.06.92","","","08.06.94","","3 AÑOS, 0 MESES Y 5 DÍAS","3","0","5","36","31","5","1991","8","6","1994","1991/05/31","1994/06/08"
"41"," MOVIMIENTO PUEBLO SOCIALISTA","13.08.92","06.10.92","","12.01.93","","06.09.93","","","","","06.09.93","","1 AÑO, 0 MESES Y 22 DÍAS","1","0","22","12","13","8","1992","6","9","1993","1992/08/13","1993/09/06"
"42"," PARTIDO FUERZA AMPLIA DE IZQUIERDA","25.09.92","24.08.92","","20.10.92","","22.05.93","","","","","22.05.93","","0 AÑOS, 7 MESES Y 26 DÍAS","0","7","26","7","25","9","1992","22","5","1993","1992/09/25","1993/05/22"
"43"," PARTIDO LIBERAL DEMOCRÁTICO","04.11.92","10.11.92","","13.01.93","","21.09.93","","","","","21.09.93","","0 AÑOS, 10 MESES Y 17 DÍAS ","0","10","17","10","4","11","1992","21","9","1993","1992/11/04","1993/09/21"
"44"," MOVIMIENTO PROGRESISTA INDEPENDIENTE","07.01.93","28.12.92","","17.03.93","","25.06.93","","","","","25.06.93","","0 AÑOS, 5 MESES Y 18 DÍAS","0","5","18","5","7","1","1993","25","6","1993","1993/01/07","1993/06/25"
"45"," PARTIDO DE LA LIBERACIÓN NACIONAL Y DE ACCIÓN PATRIÓTICA UNITARIA «PLNAPU»","12.01.93","18.01.93","","","","","","","","","","","","","","","0","12","1","1993","12","1","1993","1993/01/12","1993/01/12"
"46"," MOVIMIENTO PUEBLO SOCIALISTA","14.01.93","19.11.92","","03.02.93","","09.09.93","","","","","09.09.93","","0 AÑOS, 7 MESES Y 24 DÍAS","0","7","24","7","14","1","1993","9","9","1993","1993/01/14","1993/09/09"
